epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,780.257,0.81931,0.60103,1.12483,0.99379,0.98854,0.99331,0.87203,0.54915,0.29916,0.91378,0.0006437,0.0006437,0.0006437
139,785.817,0.8255,0.59783,1.13505,0.99601,0.98854,0.9936,0.89102,0.49107,0.28229,0.89392,0.0006338,0.0006338,0.0006338
140,791.395,0.78405,0.57915,1.11059,0.99374,0.98854,0.99409,0.89378,0.49958,0.2774,0.8991,0.0006239,0.0006239,0.0006239
141,796.958,0.81531,0.58952,1.12622,0.99424,0.98851,0.99403,0.88849,0.48174,0.27161,0.89632,0.000614,0.000614,0.000614
142,802.537,0.81172,0.59083,1.13621,0.99423,0.98786,0.99366,0.89048,0.48329,0.27626,0.90115,0.0006041,0.0006041,0.0006041
143,808.14,0.81572,0.60152,1.13211,0.99367,0.98567,0.99281,0.88729,0.49829,0.28723,0.89121,0.0005942,0.0005942,0.0005942
144,813.755,0.78658,0.59202,1.10922,0.99364,0.98854,0.9936,0.92153,0.42379,0.26501,0.8862,0.0005843,0.0005843,0.0005843
145,819.365,0.79158,0.59225,1.1171,0.99377,0.98854,0.99296,0.88563,0.5023,0.27404,0.9061,0.0005744,0.0005744,0.0005744
146,824.946,0.81379,0.58139,1.12345,0.99711,0.98821,0.99439,0.91434,0.42502,0.26455,0.88198,0.0005645,0.0005645,0.0005645
147,830.499,0.79994,0.59221,1.12292,0.99371,0.98854,0.99343,0.87519,0.56724,0.29182,0.92408,0.0005546,0.0005546,0.0005546
148,836.073,0.7752,0.57039,1.11817,0.99378,0.98854,0.99365,0.88967,0.52423,0.28449,0.90671,0.0005447,0.0005447,0.0005447
149,841.64,0.78287,0.57805,1.11522,0.9939,0.98854,0.99364,0.91552,0.42954,0.26241,0.8918,0.0005348,0.0005348,0.0005348
150,847.219,0.75736,0.54956,1.10406,0.99355,0.98854,0.99304,0.88394,0.48316,0.27424,0.90191,0.0005249,0.0005249,0.0005249
151,852.832,0.78291,0.58307,1.11978,0.99368,0.98854,0.99336,0.89182,0.46359,0.26191,0.90039,0.000515,0.000515,0.000515
152,858.404,0.76702,0.58109,1.10911,0.99423,0.98758,0.99376,0.89783,0.46417,0.26647,0.89449,0.0005051,0.0005051,0.0005051
153,863.97,0.75586,0.56269,1.09634,0.99343,0.98567,0.99332,0.89457,0.48452,0.2713,0.89164,0.0004952,0.0004952,0.0004952
