epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,1640.68,0.85472,0.5715,1.02813,0.99221,0.922,0.95499,0.81077,0.62983,0.35806,0.90379,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,1658.99,0.84852,0.56781,1.0233,0.99534,0.925,0.96487,0.82299,0.61033,0.3418,0.89713,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,1677.29,0.85309,0.56844,1.02496,0.98683,0.926,0.9625,0.8113,0.64442,0.35226,0.91357,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,1695.6,0.84243,0.57139,1.0283,0.99461,0.92254,0.95695,0.825,0.59974,0.34715,0.90675,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,1713.85,0.84463,0.57504,1.02521,0.98787,0.925,0.96328,0.83543,0.56832,0.34069,0.9011,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,1732.28,0.83995,0.56734,1.02121,0.98714,0.924,0.96247,0.82381,0.59837,0.33702,0.89521,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,1750.54,0.84055,0.56115,1.02224,0.99337,0.92,0.96545,0.82038,0.62251,0.35302,0.90792,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,1768.86,0.84725,0.57449,1.02928,0.98823,0.92321,0.96089,0.83056,0.57823,0.33876,0.90118,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,1787.21,0.84736,0.58584,1.03566,0.98843,0.92,0.96032,0.82865,0.59164,0.34253,0.90042,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,1805.52,0.81975,0.54811,1.01286,0.99131,0.926,0.96156,0.81068,0.65491,0.34006,0.91063,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,1823.79,0.83164,0.56179,1.02753,0.99382,0.921,0.96263,0.82432,0.60343,0.3388,0.9042,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,1842.18,0.82689,0.54602,1.01419,0.99222,0.924,0.9627,0.82061,0.61757,0.34185,0.89551,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,1860.46,0.82611,0.55893,1.02087,0.99493,0.922,0.96207,0.823,0.60108,0.34102,0.89874,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,1878.79,0.82794,0.55396,1.02066,0.99175,0.92,0.96175,0.81254,0.64353,0.3488,0.89832,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,1897.15,0.81671,0.55278,1.01387,0.98612,0.92355,0.96263,0.82999,0.57819,0.33445,0.88698,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,1915.47,0.81447,0.55652,1.01415,0.99247,0.92305,0.96149,0.81443,0.63617,0.34091,0.89895,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,1933.75,0.82923,0.55966,1.02006,0.99035,0.92,0.96291,0.82859,0.58425,0.33115,0.89734,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,1952.07,0.80452,0.54592,1.00984,0.98844,0.925,0.96476,0.84057,0.55881,0.32447,0.88495,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,1970.58,0.80934,0.55427,1.01461,0.99307,0.929,0.96325,0.82523,0.60471,0.33578,0.89708,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,1988.99,0.80361,0.54996,1.01278,0.99254,0.916,0.95986,0.83594,0.56524,0.33015,0.88447,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,2008.38,0.78837,0.53059,1.00319,0.99464,0.92749,0.9657,0.82918,0.59585,0.32831,0.88673,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,2028.59,0.79684,0.53876,1.0045,0.99252,0.92938,0.96281,0.8339,0.56841,0.32382,0.88472,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,2048.08,0.78059,0.53309,1.00088,0.99355,0.92461,0.96099,0.82647,0.5944,0.32962,0.89318,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,2068.87,0.79705,0.54762,1.01311,0.99606,0.926,0.96197,0.82035,0.62373,0.33822,0.90105,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,2087.93,0.80214,0.55336,1.01551,0.99392,0.924,0.96527,0.81795,0.62942,0.33422,0.89752,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,2106.19,0.77845,0.53253,1.00383,0.99569,0.9239,0.96417,0.82926,0.58949,0.32808,0.89075,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,2124.41,0.78296,0.53554,1.00876,0.98936,0.92976,0.96207,0.83774,0.56844,0.32076,0.88867,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,2142.75,0.78938,0.52917,1.00596,0.9868,0.925,0.96406,0.8428,0.56206,0.31831,0.88727,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,2161.04,0.77769,0.5351,1.00414,0.99273,0.924,0.96252,0.83291,0.57939,0.32315,0.88831,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,2179.31,0.77302,0.53372,0.99408,0.9933,0.926,0.96275,0.83346,0.57293,0.32456,0.88717,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,2197.63,0.77205,0.53024,0.99721,0.98959,0.926,0.95917,0.84326,0.54015,0.32283,0.88633,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,2215.96,0.77085,0.52456,1.00349,0.98739,0.925,0.95723,0.84283,0.54126,0.3189,0.8821,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
