epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,435.654,0.37029,1.90614,0.23412,0.26168,0.89759,0.99642,1,0.995,0.9679,0.91665,0.91973,0.88403,0.48548,0.24476,1.85023,0.01894,0.16187,0.78567,0.0004556,0.0004556,0.0004556
80,441.167,0.36262,1.87733,0.23323,0.25878,0.89689,0.99667,0.99978,0.995,0.97042,0.93332,0.93626,0.91933,0.5029,0.24504,1.78362,0.0235,0.17065,0.78558,0.0004358,0.0004358,0.0004358
81,447.139,0.35025,1.80986,0.23308,0.25379,0.88703,0.99649,1,0.995,0.9739,0.91982,0.92308,0.89637,0.50327,0.2509,1.81538,0.02181,0.16501,0.78423,0.000416,0.000416,0.000416
82,452.812,0.34845,1.86376,0.22508,0.24799,0.88616,0.99618,1,0.995,0.97437,0.92288,0.92642,0.89468,0.49373,0.24555,1.79614,0.02023,0.15827,0.78332,0.0003962,0.0003962,0.0003962
83,458.249,0.35423,1.79161,0.22985,0.25532,0.89142,0.99649,1,0.995,0.97258,0.9265,0.92977,0.89808,0.50706,0.24618,1.77971,0.02096,0.1641,0.78577,0.0003764,0.0003764,0.0003764
84,463.915,0.34284,1.7759,0.22711,0.24693,0.88608,0.99311,1,0.995,0.97517,0.93332,0.9398,0.91143,0.51684,0.24003,1.72886,0.01873,0.16449,0.77994,0.0003566,0.0003566,0.0003566
85,469.628,0.35733,1.77638,0.22803,0.25206,0.89857,0.99516,1,0.99487,0.97554,0.91861,0.92308,0.88527,0.50782,0.24445,1.74358,0.01807,0.16427,0.78225,0.0003368,0.0003368,0.0003368
86,475.15,0.33513,1.74186,0.22591,0.24063,0.88602,0.99648,1,0.995,0.97855,0.93315,0.93645,0.90605,0.52847,0.23724,1.70885,0.0192,0.15845,0.78074,0.000317,0.000317,0.000317
87,480.81,0.33997,1.60993,0.22406,0.24261,0.88901,0.99635,1,0.995,0.9769,0.93637,0.9398,0.91022,0.53999,0.24,1.64126,0.01671,0.16001,0.78366,0.0002972,0.0002972,0.0002972
88,486.578,0.32889,1.61341,0.22941,0.24212,0.88222,0.99644,1,0.995,0.97644,0.93978,0.94314,0.91472,0.54213,0.24616,1.6561,0.0146,0.15911,0.78402,0.0002774,0.0002774,0.0002774
